"Date","Time","Total"
"2023-06-18","00:02","1800"
"2023-06-18","00:12","1800"
"2023-06-18","00:22","1800"
"2023-06-18","00:32","1800"
"2023-06-18","00:42","1800"
"2023-06-18","00:52","1800"
"2023-06-18","01:02","1800"
"2023-06-18","01:12","1800"
"2023-06-18","01:22","1800"
"2023-06-18","01:32","1800"
"2023-06-18","01:42","1800"
"2023-06-18","01:52","1800"
"2023-06-18","02:02","1800"
"2023-06-18","02:12","1800"
"2023-06-18","02:22","1800"
"2023-06-18","02:32","1800"
"2023-06-18","02:42","1800"
"2023-06-18","02:52","1800"
"2023-06-18","03:02","1800"
"2023-06-18","03:12","1800"
"2023-06-18","03:22","1800"
"2023-06-18","03:32","1800"
"2023-06-18","03:42","1800"
"2023-06-18","03:52","1800"
"2023-06-18","04:02","1800"
"2023-06-18","04:12","1800"
"2023-06-18","04:22","1800"
"2023-06-18","04:32","1800"
"2023-06-18","04:42","1800"
"2023-06-18","04:52","1800"
"2023-06-18","05:02","1800"
"2023-06-18","05:12","1800"
"2023-06-18","05:22","1800"
"2023-06-18","05:32","1800"
"2023-06-18","05:42","1799"
"2023-06-18","05:52","1798"
"2023-06-18","06:02","1798"
"2023-06-18","06:12","1798"
"2023-06-18","06:22","1798"
"2023-06-18","06:32","1798"
"2023-06-18","06:42","1798"
"2023-06-18","06:52","1798"
"2023-06-18","07:02","1798"
"2023-06-18","07:12","1798"
"2023-06-18","07:22","1798"
"2023-06-18","07:32","1798"
"2023-06-18","07:42","1798"
"2023-06-18","07:52","1798"
"2023-06-18","08:02","1798"
"2023-06-18","08:12","1795"
"2023-06-18","08:22","1793"
"2023-06-18","08:32","1793"
"2023-06-18","08:42","1790"
"2023-06-18","08:52","1784"
"2023-06-18","09:02","1782"
"2023-06-18","09:12","1778"
"2023-06-18","09:22","1771"
"2023-06-18","09:32","1767"
"2023-06-18","09:42","1763"
"2023-06-18","09:52","1758"
"2023-06-18","10:02","1756"
"2023-06-18","10:12","1757"
"2023-06-18","10:22","1750"
"2023-06-18","10:32","1747"
"2023-06-18","10:42","1745"
"2023-06-18","10:52","1746"
"2023-06-18","11:02","1746"
"2023-06-18","11:12","1737"
"2023-06-18","11:22","1735"
"2023-06-18","11:32","1727"
"2023-06-18","11:42","1725"
"2023-06-18","11:52","1718"
"2023-06-18","12:02","1721"
"2023-06-18","12:12","1724"
"2023-06-18","12:22","1724"
"2023-06-18","12:32","1713"
"2023-06-18","12:42","1716"
"2023-06-18","12:52","1722"
"2023-06-18","13:02","1720"
"2023-06-18","13:12","1716"
"2023-06-18","13:22","1708"
"2023-06-18","13:32","1705"
"2023-06-18","13:42","1702"
"2023-06-18","13:52","1700"
"2023-06-18","14:02","1697"
"2023-06-18","14:12","1697"
"2023-06-18","14:22","1690"
"2023-06-18","14:32","1691"
"2023-06-18","14:42","1693"
"2023-06-18","14:52","1694"
"2023-06-18","15:02","1692"
"2023-06-18","15:12","1690"
"2023-06-18","15:22","1690"
"2023-06-18","15:32","1695"
"2023-06-18","15:42","1691"
"2023-06-18","15:52","1700"
"2023-06-18","16:02","1701"
"2023-06-18","16:12","1702"
"2023-06-18","16:22","1713"
"2023-06-18","16:32","1712"
"2023-06-18","16:42","1716"
"2023-06-18","16:52","1721"
"2023-06-18","17:02","1724"
"2023-06-18","17:12","1728"
"2023-06-18","17:22","1736"
"2023-06-18","17:32","1739"
"2023-06-18","17:42","1744"
"2023-06-18","17:52","1747"
"2023-06-18","18:02","1746"
"2023-06-18","18:12","1752"
"2023-06-18","18:22","1756"
"2023-06-18","18:32","1763"
"2023-06-18","18:42","1764"
"2023-06-18","18:52","1763"
"2023-06-18","19:02","1761"
"2023-06-18","19:12","1763"
"2023-06-18","19:22","1765"
"2023-06-18","19:32","1762"
"2023-06-18","19:42","1769"
"2023-06-18","19:52","1769"
"2023-06-18","20:02","1773"
"2023-06-18","20:12","1779"
"2023-06-18","20:22","1779"
"2023-06-18","20:32","1783"
"2023-06-18","20:42","1786"
"2023-06-18","20:52","1793"
"2023-06-18","21:02","1800"
"2023-06-18","21:12","1800"
"2023-06-18","21:22","1800"
"2023-06-18","21:32","1800"
"2023-06-18","21:42","1800"
"2023-06-18","21:52","1800"
"2023-06-18","22:02","1800"
"2023-06-18","22:12","1800"
"2023-06-18","22:22","1800"
"2023-06-18","22:32","1800"
"2023-06-18","22:42","1800"
"2023-06-18","22:52","1800"
"2023-06-18","23:02","1800"
"2023-06-18","23:12","1800"
"2023-06-18","23:22","1800"
"2023-06-18","23:32","1800"
"2023-06-18","23:42","1800"
"2023-06-18","23:52","1800"
"2023-05-15","00:02","1614"
